date,station,weather,source
2015-06-22,230,"Cloudy, warm, breezy, ripples.",DO/Temperature record
2015-06-22,220,"Cloudy, warm, breezy, ripples.",DO/Temperature record
2015-06-22,210,"Cloudy, warm, breezy, ripples.",DO/Temperature record
2015-07-20,230,"Windy, Mod. waves",DO/Temperature record
2015-07-20,220,"Breezy, small waves",DO/Temperature record
2015-07-20,210,"Clear, calm, ripples",DO/Temperature record
2015-07-20,200,"Clear, calm, ripples",DO/Temperature record
2015-08-10,230,partly cloudy warm and calm,DO/Temperature record
2015-08-10,220,partly cloudy warm and calm,DO/Temperature record
2015-08-10,210,partly cloudy warm and calm,DO/Temperature record
2015-08-10,200,"warm, calm, ripples, normal",DO/Temperature record
2020-06-03,200,"partly cloudy, warm, calm, rip",DO/Temperature record
2020-06-03,210,"partly cloudy, warm, calm, rip",DO/Temperature record
2020-06-22,220,"hazy, warm, breezy, ripples",DO/Temperature record
2020-06-22,210,"overcast, warm, breezy, ripple",DO/Temperature record
2020-07-15,230,"overcast, warm, calm, ripples",DO/Temperature record
2020-07-15,210,"overcast, warm, calm, ripples",DO/Temperature record
2020-08-11,202,"clear, warm, calm, ripples",DO/Temperature record
2020-08-11,210,"clear, warm, calm, ripples",DO/Temperature record
2020-08-11,230,"clear, warm, calm, ripples",DO/Temperature record
2020-09-15,216,"clear, cool, breezy, ripples",DO/Temperature record
2020-09-15,210,"clear, cold calm, ripples",DO/Temperature record
2020-09-29,207,"clear, warm, calm",DO/Temperature record
2020-09-29,219,"clear, warm, calm",DO/Temperature record
2020-09-29,210,"clear, warm, calm",DO/Temperature record
